name,dosage,forme,presentation,price,remboursement,dci,type,prescription_required
ABILICARE,10 mg,Comprimes,B/30,109.675,93.203,ARIPIPRAZOLE,Antipsychotiques,true
ABILICARE,15 mg,Comprimes,B/30,123.445,104.907,ARIPIPRAZOLE,Antipsychotiques,true
ABILIFY,10 mg,Comprimes,B/28,127.235,86.989,ARIPIPRAZOLE,Antipsychotiques,true
ABILIFY,15 mg,Comprimes,B/28,127.675,97.913,ARIPIPRAZOLE,Antipsychotiques,true
ABUFENE,400 mg,Comprimes,B/30,5.705,4.845,BETA-ALANINE,Vitamines et compléments alimentaires,false
ACARLYSE,50 mg,Comprimes,B/90,23.305,16.141,ACARBOSE,Antidiabétiques,true
ACETAZOLAMIDE,250 mg,Comprimes,B/30,10.79,2.652,ACETAZOLAMIDE,Anticonvulsivants,true
ACIRYL,150 mg,Gelules,B/30,33.96,28.5,PREGABALINE,Anticonvulsivants,true
ACIRYL,150 mg,Gelules,B/60,67.72,57.0,PREGABALINE,Anticonvulsivants,true
ACIRYL,75 mg,Gelules,B/15,15.485,13.455,PREGABALINE,Anticonvulsivants,true
ACIRYL,75 mg,Gelules,B/60,59.04,53.82,PREGABALINE,Anticonvulsivants,true
ACNETA 10,10 mg,Gelules,B/10,6.755,2.408,ISOTRETINOINE,Anticancéreux,true
ACNETA 10,10 mg,Gelules,B/30,18.085,7.224,ISOTRETINOINE,Anticancéreux,true
ACNETA 20,20 mg,Gelules,B/10,10.65,4.26,ISOTRETINOINE,Anticancéreux,true
ACNETA 20,20 mg,Gelules,B/30,32.24,12.78,ISOTRETINOINE,Anticancéreux,true
ACNETA 40,40 mg,Gelules,B/10,18.07,7.044,ISOTRETINOINE,Anticancéreux,true
ACNETA 40,40 mg,Gelules,B/30,52.85,21.132,ISOTRETINOINE,Anticancéreux,true
ACNETA 5,5 mg,Gelules,B/10,4.72,1.58,ISOTRETINOINE,Anticancéreux,true
ACNETA 5,5 mg,Gelules,B/30,11.87,4.74,ISOTRETINOINE,Anticancéreux,true
ACTAFON,160 mg,Comprimes orodispersibles,B/12,6.895,2.318,PHLOROGLUCINOL,Antispasmodiques,false
ACTAFON,80 mg,Comprimes orodispersibles,B/20,5.48,1.968,PHLOROGLUCINOL,Antispasmodiques,false
ACTALGINE,500 mg,Comprimes,B/18,2.6,1.928,ACIDE ACETYLSALICYLIQUE,Antiplaquettaires,true
ACTALGINE,500 mg,Comprimes,B/20,2.52,2.142,ACIDE ACETYLSALICYLIQUE,Antiplaquettaires,true
ACTALGINE PH 8,500 mg,Comprimes pellicules,B/20,1.7,1.445,ACIDE ACETYLSALICYLIQUE,Antiplaquettaires,true
ACTAPULGITE,3 g,Poudre pour suspension orale,B/16 sachets,5.55,2.214,ATTAPULGITE DE MORMOIRON ACTIVEE,Antidiarrhéiques,false
ACTAPULGITE NOURRISSONS,1 g,Poudre pour suspension orale,B/20 sachets,3.75,1.496,ATTAPULGITE DE MORMOIRON ACTIVEE,Antidiarrhéiques,false
ACTIPP,20 mg,Gelules gastroresistantes,B/8,6.745,4.162,ESOMEPRAZOLE,Antiacides,false
ACTONEL,35 mg,Comprimes,B/4,63.899,23.008,RISEDRONATE,Vitamines et compléments alimentaires,false
ACTOPRIL,25 mg,Comprimes secables,B/60,13.19,8.466,CAPTOPRIL,Antihypertenseurs,true
ACTOZID,50 mg/25 mg,Comprimes secables,B/30,19.395,16.473,CAPTOPRIL+HYDROCHLORTHIAZIDE,Antihypertenseurs,true
ACTRAPID,100 UI/ml,Solution injectable,FL/10 ml,6.753,4.31,INSULINE HUMAINE,Antidiabétiques,true
ACTRAPID PENFILL,100 UI/ml,Suspension injectable,FL/5/3 ml,43.506,43.505,INSULINE HUMAINE,Antidiabétiques,true
ACUPAN,20 mg,Solution injectable,B/5/2 ml,6.042,5.134,NEFOPAM,Analgésiques (antidouleurs),true
ADALATE RETARD,20 mg,Comprimes à liberation prolongee,B/20,8.125,6.154,NIFEDIPINE,Antihypertenseurs,true
ADEX,"2,5 mg",Comprimes,B/30,7.44,4.794,INDAPAMIDE,Diurétiques,true
ADEX LP,"1,5 mg",Comprimes à liberation prolongee,B/30,7.44,4.59,INDAPAMIDE,Diurétiques,true
ADOL,1000 mg,Comprimes secables,B/8,3.11,1.986,PARACETAMOL,Analgésiques (antidouleurs),false
ADOL,500 mg,Comprimes,B/15,2.215,0.637,PARACETAMOL,Analgésiques (antidouleurs),false
ADOL EXTRA,500 mg/65 mg,Comprimes pellicules,B/20,3.775,2.227,PARACETAMOL+CAFEINE,Analgésiques (antidouleurs),false
ADOLINE,500 mg,Comprimes,B/10,0.755,0.425,PARACETAMOL,Analgésiques (antidouleurs),false
ADOLINE,500 mg,Comprimes,B/20,1.01,0.85,PARACETAMOL,Analgésiques (antidouleurs),false
ADOLINE,500 mg,Comprimes effervescents,B/16,3.59,1.795,PARACETAMOL,Analgésiques (antidouleurs),false
ADOLINE,500 mg,Comprimes effervescents,B/2 tubes/8,2.12,1.795,PARACETAMOL,Analgésiques (antidouleurs),false
ADOLINE,500 mg,Comprimes effervescents,B/2x8,3.6,1.795,PARACETAMOL,Analgésiques (antidouleurs),false
ADONTAG,150 mg,Gelules,B/18,21.01,17.1,PREGABALINE,Anticonvulsivants,true
ADONTAG,150 mg,Gelules,B/30,34.86,28.5,PREGABALINE,Anticonvulsivants,true
ADONTAG,150 mg,Gelules,B/60,67.44,57.0,PREGABALINE,Anticonvulsivants,true
ADONTAG,150 mg,Gelules,FL/14,16.395,13.3,PREGABALINE,Anticonvulsivants,true
ADONTAG,150 mg,Gelules,FL/28,32.55,26.6,PREGABALINE,Anticonvulsivants,true
ADONTAG,150 mg,Gelules,FL/56,63.185,53.2,PREGABALINE,Anticonvulsivants,true
ADONTAG,75 mg,Gelules,FL/14,14.1,12.558,PREGABALINE,Anticonvulsivants,true
ADONTAG,75 mg,Gelules,FL/30,30.73,26.91,PREGABALINE,Anticonvulsivants,true
ADYBREX,200 mg,Gelules,B/10,8.44,2.536,CELECOXIB,Anti-inflammatoires,false
ADYBREX,200 mg,Gelules,B/20,13.235,5.072,CELECOXIB,Anti-inflammatoires,false
ADYBREX,200 mg,Gelules,B/30,19.74,7.608,CELECOXIB,Anti-inflammatoires,false
AERIUS,"2,5 mg",Comprimes orodispersibles,B/30,9.15,7.777,DESLORATADINE,Antihistaminiques,false
AERIUS,5 mg,Comprimes orodispersibles,B/30,9.615,7.829,DESLORATADINE,Antihistaminiques,false
AERIUS,5 mg,Comprimes pellicules,B/15,10.67,4.118,DESLORATADINE,Antihistaminiques,false
AEROFOR,12 µg,Gelules,B/30 + inhal,19.08,13.592,FORMOTEROL,Bronchodilatateurs,true
AEROFOR,12 µg,Gelules,B/60 + inhal,35.195,27.183,FORMOTEROL,Bronchodilatateurs,true
AEROL,100 µg,Aerosol,FL/200 doses,7.37,4.93,SALBUTAMOL,Bronchodilatateurs,false
AERONIDE,200 µg,Poudre pour inhalation buccale,B/60 gélules + inhal,13.5,11.475,BUDESONIDE,Corticoïdes,true
AERONIDE,400 µg,Poudre pour inhalation buccale,B/60 gélules + inhal,22.84,19.38,BUDESONIDE,Corticoïdes,true
AFUCID,250 mg,Comprimes,B/10,16.715,13.54,ACIDE FUSIDIQUE,Antibiotiques,true
AFUSIDIC,250 mg,Comprimes pellicules,B/10,21.13,13.54,ACIDE FUSIDIQUE,Antibiotiques,true
AFUSIDIC,250 mg,Comprimes pellicules,B/20,35.67,27.081,ACIDE FUSIDIQUE,Antibiotiques,true
AFUSIDIC PLUS,"2,00%",Creme dermique,T/15 g,5.79,4.284,BETAMETHASONE + ACIDE FUSIDIQUE,Corticoïdes,false
AH-DEUX,20 mg,Comprimes pellicules,B/30,13.23,11.246,FAMOTIDINE,Antiacides,false
AKINETON LP,4 mg,Comprimes pellicules,B/30,14.775,12.559,BIPERIDENE,Autres,true
AKINETON LP,4 mg,Comprimes pellicules,B/50,24.873,20.995,BIPERIDENE,Autres,true
AKLONIL,2 mg,Comprimes secables,B/40,3.182,2.92,CLONAZEPAM,Anticonvulsivants,true
AKTONATE,35 mg,Comprimes pellicules,B/12,89.94,69.023,RISEDRONATE,Vitamines et compléments alimentaires,false
AKTONATE,35 mg,Comprimes pellicules,B/4,42.105,23.008,RISEDRONATE,Vitamines et compléments alimentaires,false
ALBIOMIN,"20,00%",Solution pour perfusion injectable,FL/50 ml,160.055,116.45,ALBUMINE HUMAINE PLASMATIQUE,Autres,true
ALBUNORM,"20,00%",Solution pour perfusion injectable,FL/50 ml,166.714,116.45,ALBUMINE HUMAINE PLASMATIQUE,Autres,true
ALBUTOL,2 mg,Comprimes,B/30,1.685,1.428,SALBUTAMOL,Bronchodilatateurs,false
ALDACTAZINE,25 mg,Comprimes secables,B/30,10.902,9.257,SPIRONOLACTONE+ALTIZIDE,Diurétiques,true
ALDACTONE,50 mg,Comprimes secables,B/30,24.02,11.424,SPIRONOLACTONE,Diurétiques,true
ALDACTONE,75 mg,Comprimes pellicules secables,B/30,16.559,14.051,SPIRONOLACTONE,Diurétiques,true
ALDALIX,20 mg,Gelules,B/30,10.286,8.721,SPIRONOLACTONE+FUROSEMIDE,Diurétiques,true
ALERGOSONE,"0,5 mg/ml",Gouttes buvables,FL/30 ml,5.41,4.386,BETAMETHASONE,Corticoïdes,true
ALERGOSONE,2 mg,Comprimes dispersibles secables,B/20,7.68,5.95,BETAMETHASONE,Corticoïdes,true
ALEZINE,5 mg,Comprimes orodispersibles,B/15,5.715,4.756,LEVOCETIRIZINE,Antihistaminiques,false
ALEZINE,5 mg,Comprimes orodispersibles,B/18,8.28,5.707,LEVOCETIRIZINE,Antihistaminiques,false
ALEZINE,5 mg,Comprimes orodispersibles,B/30,11.19,9.512,LEVOCETIRIZINE,Antihistaminiques,false
ALEZINE,5 mg,Comprimes orodispersibles,B/6,4.28,1.902,LEVOCETIRIZINE,Antihistaminiques,false
ALFACAPS,1 µg,Capsules molles,B/30,38.74,32.929,ALFACALCIDOL,Vitamines et compléments alimentaires,false
ALGESIC,500 mg,Comprimes secables,B/20,2.365,0.85,PARACETAMOL,Analgésiques (antidouleurs),false
ALGESIC EXTRA,500 mg/65 mg,Comprimes pellicules secables,B/16,3.205,1.782,PARACETAMOL+CAFEINE,Analgésiques (antidouleurs),false
ALGETRA,"37,5 mg/325 mg",Comprimes pellicules,B/20,4.49,3.808,TRAMADOL + PARACETAMOL,Analgésiques (antidouleurs),false
ALGIBREX,200 mg,Gelules,B/10,6.57,2.536,CELECOXIB,Anti-inflammatoires,false
ALGIBREX,200 mg,Gelules,B/20,12.88,5.072,CELECOXIB,Anti-inflammatoires,false
ALGIBREX,200 mg,Gelules,B/30,19.24,7.608,CELECOXIB,Anti-inflammatoires,false
ALGIDOL,1000 mg,Comprimes secables,B/8,2.34,1.986,PARACETAMOL,Analgésiques (antidouleurs),false
ALGIDOL,500 mg,Comprimes,B/16,1.575,0.68,PARACETAMOL,Analgésiques (antidouleurs),false
ALGIDOL EXTRA,500 mg/65 mg,Comprimes pellicules,B/16,2.21,1.782,PARACETAMOL+CAFEINE,Analgésiques (antidouleurs),false
ALLERGAMINE,"0,5 mg/5 ml",Sirop,FL/125 ml,4.414,1.063,DEXCHLORPHENIRAMINE,Antihistaminiques,false
ALLERGICA,10 mg,Comprimes,B/10,5.49,2.125,CETIRIZINE,Antihistaminiques,false
ALLERGICA,10 mg,Comprimes,B/20,7.63,4.25,CETIRIZINE,Antihistaminiques,false
ALLERGICA,10 mg,Comprimes,B/30,12.13,6.375,CETIRIZINE,Antihistaminiques,false
ALLERGODIL,"0,05%",Collyre,FL/6 ml,9.235,7.385,AZELASTINE,Antihistaminiques,false
ALLERGUS,"0,5 mg/ml",Sirop,FL/150 ml,7.885,5.738,DESLORATADINE,Antihistaminiques,false
ALLERGUS,"0,5 mg/ml",Solution buvable,FL/150 ml,6.895,5.738,DESLORATADINE,Antihistaminiques,false
ALLERGUS,5 mg,Comprimes pellicules,B/15,6.695,4.118,DESLORATADINE,Antihistaminiques,false
ALLERGUS,5 mg,Comprimes pellicules,B/30,11.75,8.236,DESLORATADINE,Antihistaminiques,false
ALLERGUS,5 mg,Comprimes pellicules,B/5,2.56,1.373,DESLORATADINE,Antihistaminiques,false
ALLERGY-STOP,5 mg,Comprimes pellicules,B/15,7.315,4.756,LEVOCETIRIZINE,Antihistaminiques,false
ALLERGY-STOP,5 mg,Comprimes pellicules,B/30,11.765,9.512,LEVOCETIRIZINE,Antihistaminiques,false
