medicament_id,numero_lot,quantite_en_stock,date_fabrication,date_expiration,emplacement,dernier_reapprovisionnement
1,2401-J741,200,2024-01-09,2027-04-09,A6,2024-04-03
1,2405-V109,24,2024-05-09,2027-05-09,Rayon5,2025-06-18
1,2409-L068,27,2024-09-09,2027-07-09,B13,2025-11-27
2,2501-J593,13,2025-01-09,2027-06-09,B14,2026-03-30
2,2510-K769,154,2025-10-09,2028-01-09,B3,2026-06-11
3,2410-W485,101,2024-10-09,2028-01-09,A11,2026-04-24
3,2502-E822,40,2025-02-09,2028-03-09,Rayon4,2025-06-15
3,2507-C046,191,2025-07-09,2028-05-09,D2,2026-03-20
4,2309-F998,189,2023-09-09,2026-03-09,A8,2025-11-27
4,2409-G193,155,2024-09-09,2027-11-09,D7,2026-02-11
5,2406-J640,186,2024-06-09,2027-12-09,A2,2026-04-23
5,2412-C990,92,2024-12-09,2028-06-09,C2,2026-02-20
6,2312-T615,144,2023-12-09,2026-05-09,Rayon6,2024-07-31
6,2409-T592,92,2024-09-09,2027-06-09,A14,2025-04-18
7,2405-M772,147,2024-05-09,2027-05-09,D5,2024-08-20
7,2502-X533,129,2025-02-09,2028-06-09,Rayon1,2026-06-13
7,2602-T999,33,2026-02-09,2029-06-09,D13,2026-06-24
8,2406-X879,50,2024-06-09,2027-02-09,D10,2025-05-13
8,2502-C745,15,2025-02-09,2028-04-09,B19,2026-03-20
9,2409-L750,33,2024-09-09,2027-03-09,C2,2025-04-09
9,2502-T956,186,2025-02-09,2027-09-09,C6,2025-08-14
9,2512-T536,167,2025-12-09,2029-04-09,C6,2026-06-13
10,2403-X787,184,2024-03-09,2026-07-09,A12,2026-04-01
10,2410-R654,94,2024-10-09,2027-02-09,B7,2024-10-15
10,2506-N232,14,2025-06-09,2028-11-09,B13,2025-08-14
11,2401-K185,194,2024-01-09,2027-04-09,Rayon4,2025-09-13
11,2410-L171,64,2024-10-09,2027-08-09,D20,2025-01-06
12,2406-G349,41,2024-06-09,2026-07-09,Rayon6,2025-11-24
12,2501-M558,23,2025-01-09,2028-03-09,B3,2026-01-03
12,2507-N307,144,2025-07-09,2028-07-09,D9,2026-06-11
13,2406-K442,197,2024-06-09,2026-09-09,A11,2024-07-11
13,2504-B129,21,2025-04-09,2028-06-09,A7,2025-04-16
13,2511-L091,156,2025-11-09,2029-05-09,C5,2026-04-17
14,2406-T597,10,2024-06-09,2026-10-09,C14,2026-01-14
14,2412-C218,45,2024-12-09,2027-08-09,A2,2025-12-24
14,2511-D216,27,2025-11-09,2029-02-09,D15,2025-12-31
15,2312-T562,123,2023-12-09,2026-11-09,Rayon7,2025-04-22
15,2411-T901,95,2024-11-09,2027-12-09,Rayon2,2026-03-25
15,2507-C387,182,2025-07-09,2028-02-09,A15,2025-07-29
16,2404-B930,172,2024-04-09,2027-03-09,D14,2024-05-15
16,2408-X047,99,2024-08-09,2027-09-09,C5,2026-04-24
16,2502-F831,25,2025-02-09,2028-01-09,C16,2025-04-03
17,2401-G337,38,2024-01-09,2026-09-09,B17,2025-07-15
17,2409-W210,126,2024-09-09,2027-07-09,D16,2024-10-30
17,2503-D257,93,2025-03-09,2028-01-09,B12,2026-04-10
18,2405-B810,168,2024-05-09,2026-09-09,A8,2026-04-08
18,2505-X927,155,2025-05-09,2027-10-09,B9,2025-06-13
18,2603-G591,33,2026-03-09,2028-08-09,A4,2026-04-21
19,2404-C918,17,2024-04-09,2027-08-09,B17,2024-12-18
19,2502-C613,110,2025-02-09,2027-10-09,Rayon7,2025-04-29
20,2312-V777,104,2023-12-09,2026-04-09,C6,2025-01-20
20,2408-T809,185,2024-08-09,2026-09-09,B6,2025-08-16
21,2407-D295,69,2024-07-09,2027-09-09,B20,2025-11-06
21,2411-N862,63,2024-11-09,2028-02-09,Rayon6,2025-12-08
22,2406-F559,145,2024-06-09,2027-06-09,Rayon6,2026-02-07
22,2502-H544,21,2025-02-09,2027-10-09,A12,2025-05-19
22,2509-A519,176,2025-09-09,2027-11-09,Rayon5,2026-05-13
23,2403-D715,93,2024-03-09,2027-02-09,A7,2024-08-21
23,2409-M909,113,2024-09-09,2027-07-09,A12,2025-01-05
24,2410-H226,197,2024-10-09,2026-10-09,B1,2025-12-28
24,2506-B829,26,2025-06-09,2028-09-09,A7,2025-12-31
