Name,Dosage,Forme,Presentation,Price,Remboursement,DCI,Type,Prescription
ABILICARE,10 mg,Comprimes,B/30,109.675,93.203,ARIPIPRAZOLE,Antipsychotiques,Oui
ABILICARE,15 mg,Comprimes,B/30,123.445,104.907,ARIPIPRAZOLE,Antipsychotiques,Oui
ABILIFY,10 mg,Comprimes,B/28,127.235,86.989,ARIPIPRAZOLE,Antipsychotiques,Oui
ABILIFY,15 mg,Comprimes,B/28,127.675,97.913,ARIPIPRAZOLE,Antipsychotiques,Oui
ABUFENE,400 mg,Comprimes,B/30,5.705,4.845,BETA-ALANINE,Vitamines et compléments alimentaires,Non
ACARLYSE,50 mg,Comprimes,B/90,23.305,16.141,ACARBOSE,Antidiabétiques,Oui
ACETAZOLAMIDE,250 mg,Comprimes,B/30,10.79,2.652,ACETAZOLAMIDE,Anticonvulsivants,Oui
ACIRYL,150 mg,Gelules,B/30,33.96,28.5,PREGABALINE,Anticonvulsivants,Oui
ACIRYL,150 mg,Gelules,B/60,67.72,57.0,PREGABALINE,Anticonvulsivants,Oui
ACIRYL,75 mg,Gelules,B/15,15.485,13.455,PREGABALINE,Anticonvulsivants,Oui
ACIRYL,75 mg,Gelules,B/60,59.04,53.82,PREGABALINE,Anticonvulsivants,Oui
ACNETA 10,10 mg,Gelules,B/10,6.755,2.408,ISOTRETINOINE,Anticancéreux,Oui
ACNETA 10,10 mg,Gelules,B/30,18.085,7.224,ISOTRETINOINE,Anticancéreux,Oui
ACNETA 20,20 mg,Gelules,B/10,10.65,4.26,ISOTRETINOINE,Anticancéreux,Oui
ACNETA 20,20 mg,Gelules,B/30,32.24,12.78,ISOTRETINOINE,Anticancéreux,Oui
ACNETA 40,40 mg,Gelules,B/10,18.07,7.044,ISOTRETINOINE,Anticancéreux,Oui
ACNETA 40,40 mg,Gelules,B/30,52.85,21.132,ISOTRETINOINE,Anticancéreux,Oui
ACNETA 5,5 mg,Gelules,B/10,4.72,1.58,ISOTRETINOINE,Anticancéreux,Oui
ACNETA 5,5 mg,Gelules,B/30,11.87,4.74,ISOTRETINOINE,Anticancéreux,Oui
ACTAFON,160 mg,Comprimes orodispersibles,B/12,6.895,2.318,PHLOROGLUCINOL,Antispasmodiques,Non
ACTAFON,80 mg,Comprimes orodispersibles,B/20,5.48,1.968,PHLOROGLUCINOL,Antispasmodiques,Non
ACTALGINE,500 mg,Comprimes,B/18,2.6,1.928,ACIDE ACETYLSALICYLIQUE,Antiplaquettaires,Oui
ACTALGINE,500 mg,Comprimes,B/20,2.52,2.142,ACIDE ACETYLSALICYLIQUE,Antiplaquettaires,Oui
ACTALGINE PH 8,500 mg,Comprimes pellicules,B/20,1.7,1.445,ACIDE ACETYLSALICYLIQUE,Antiplaquettaires,Oui
ACTAPULGITE,3 g,Poudre pour suspension orale,B/16 sachets,5.55,2.214,ATTAPULGITE DE MORMOIRON ACTIVEE,Antidiarrhéiques,Non
ACTAPULGITE NOURRISSONS,1 g,Poudre pour suspension orale,B/20 sachets,3.75,1.496,ATTAPULGITE DE MORMOIRON ACTIVEE,Antidiarrhéiques,Non
ACTIPP,20 mg,Gelules gastroresistantes,B/8,6.745,4.162,ESOMEPRAZOLE,Antiacides,Non
ACTONEL,35 mg,Comprimes,B/4,63.899,23.008,RISEDRONATE,Vitamines et compléments alimentaires,Non
ACTOPRIL,25 mg,Comprimes secables,B/60,13.19,8.466,CAPTOPRIL,Antihypertenseurs,Oui
ACTOZID,50 mg/25 mg,Comprimes secables,B/30,19.395,16.473,CAPTOPRIL+HYDROCHLORTHIAZIDE,Antihypertenseurs,Oui
ACTRAPID,100 UI/ml,Solution injectable,FL/10 ml,6.753,4.31,INSULINE HUMAINE,Antidiabétiques,Oui
ACTRAPID PENFILL,100 UI/ml,Suspension injectable,FL/5/3 ml,43.506,43.505,INSULINE HUMAINE,Antidiabétiques,Oui
ACUPAN,20 mg,Solution injectable,B/5/2 ml,6.042,5.134,NEFOPAM,Analgésiques (antidouleurs),Oui
ADALATE RETARD,20 mg,Comprimes à liberation prolongee,B/20,8.125,6.154,NIFEDIPINE,Antihypertenseurs,Oui
ADEX,"2,5 mg",Comprimes,B/30,7.44,4.794,INDAPAMIDE,Diurétiques,Oui
ADEX LP,"1,5 mg",Comprimes à liberation prolongee,B/30,7.44,4.59,INDAPAMIDE,Diurétiques,Oui
ADOL,1000 mg,Comprimes secables,B/8,3.11,1.986,PARACETAMOL,Analgésiques (antidouleurs),Non
ADOL,500 mg,Comprimes,B/15,2.215,0.637,PARACETAMOL,Analgésiques (antidouleurs),Non
ADOL EXTRA,500 mg/65 mg,Comprimes pellicules,B/20,3.775,2.227,PARACETAMOL+CAFEINE,Analgésiques (antidouleurs),Non
ADOLINE,500 mg,Comprimes,B/10,0.755,0.425,PARACETAMOL,Analgésiques (antidouleurs),Non
ADOLINE,500 mg,Comprimes,B/20,1.01,0.85,PARACETAMOL,Analgésiques (antidouleurs),Non
ADOLINE,500 mg,Comprimes effervescents,B/16,3.59,1.795,PARACETAMOL,Analgésiques (antidouleurs),Non
ADOLINE,500 mg,Comprimes effervescents,B/2 tubes/8,2.12,1.795,PARACETAMOL,Analgésiques (antidouleurs),Non
ADOLINE,500 mg,Comprimes effervescents,B/2x8,3.6,1.795,PARACETAMOL,Analgésiques (antidouleurs),Non
ADONTAG,150 mg,Gelules,B/18,21.01,17.1,PREGABALINE,Anticonvulsivants,Oui
ADONTAG,150 mg,Gelules,B/30,34.86,28.5,PREGABALINE,Anticonvulsivants,Oui
ADONTAG,150 mg,Gelules,B/60,67.44,57.0,PREGABALINE,Anticonvulsivants,Oui
ADONTAG,150 mg,Gelules,FL/14,16.395,13.3,PREGABALINE,Anticonvulsivants,Oui
ADONTAG,150 mg,Gelules,FL/28,32.55,26.6,PREGABALINE,Anticonvulsivants,Oui
ADONTAG,150 mg,Gelules,FL/56,63.185,53.2,PREGABALINE,Anticonvulsivants,Oui
ADONTAG,75 mg,Gelules,FL/14,14.1,12.558,PREGABALINE,Anticonvulsivants,Oui
ADONTAG,75 mg,Gelules,FL/30,30.73,26.91,PREGABALINE,Anticonvulsivants,Oui
ADYBREX,200 mg,Gelules,B/10,8.44,2.536,CELECOXIB,Anti-inflammatoires,Non
ADYBREX,200 mg,Gelules,B/20,13.235,5.072,CELECOXIB,Anti-inflammatoires,Non
ADYBREX,200 mg,Gelules,B/30,19.74,7.608,CELECOXIB,Anti-inflammatoires,Non
AERIUS,"2,5 mg",Comprimes orodispersibles,B/30,9.15,7.777,DESLORATADINE,Antihistaminiques,Non
AERIUS,5 mg,Comprimes orodispersibles,B/30,9.615,7.829,DESLORATADINE,Antihistaminiques,Non
AERIUS,5 mg,Comprimes pellicules,B/15,10.67,4.118,DESLORATADINE,Antihistaminiques,Non
AEROFOR,12 µg,Gelules,B/30 + inhal,19.08,13.592,FORMOTEROL,Bronchodilatateurs,Oui
AEROFOR,12 µg,Gelules,B/60 + inhal,35.195,27.183,FORMOTEROL,Bronchodilatateurs,Oui
AEROL,100 µg,Aerosol,FL/200 doses,7.37,4.93,SALBUTAMOL,Bronchodilatateurs,Non
AERONIDE,200 µg,Poudre pour inhalation buccale,B/60 gélules + inhal,13.5,11.475,BUDESONIDE,Corticoïdes,Oui
AERONIDE,400 µg,Poudre pour inhalation buccale,B/60 gélules + inhal,22.84,19.38,BUDESONIDE,Corticoïdes,Oui
AFUCID,250 mg,Comprimes,B/10,16.715,13.54,ACIDE FUSIDIQUE,Antibiotiques,Oui
AFUSIDIC,250 mg,Comprimes pellicules,B/10,21.13,13.54,ACIDE FUSIDIQUE,Antibiotiques,Oui
AFUSIDIC,250 mg,Comprimes pellicules,B/20,35.67,27.081,ACIDE FUSIDIQUE,Antibiotiques,Oui
AFUSIDIC PLUS,"2,00%",Creme dermique,T/15 g,5.79,4.284,BETAMETHASONE + ACIDE FUSIDIQUE,Corticoïdes,Non
AH-DEUX,20 mg,Comprimes pellicules,B/30,13.23,11.246,FAMOTIDINE,Antiacides,Non
AKINETON LP,4 mg,Comprimes pellicules,B/30,14.775,12.559,BIPERIDENE,Autres,Oui
AKINETON LP,4 mg,Comprimes pellicules,B/50,24.873,20.995,BIPERIDENE,Autres,Oui
AKLONIL,2 mg,Comprimes secables,B/40,3.182,2.92,CLONAZEPAM,Anticonvulsivants,Oui
AKTONATE,35 mg,Comprimes pellicules,B/12,89.94,69.023,RISEDRONATE,Vitamines et compléments alimentaires,Non
AKTONATE,35 mg,Comprimes pellicules,B/4,42.105,23.008,RISEDRONATE,Vitamines et compléments alimentaires,Non
ALBIOMIN,"20,00%",Solution pour perfusion injectable,FL/50 ml,160.055,116.45,ALBUMINE HUMAINE PLASMATIQUE,Autres,Oui
ALBUNORM,"20,00%",Solution pour perfusion injectable,FL/50 ml,166.714,116.45,ALBUMINE HUMAINE PLASMATIQUE,Autres,Oui
ALBUTOL,2 mg,Comprimes,B/30,1.685,1.428,SALBUTAMOL,Bronchodilatateurs,Non
ALDACTAZINE,25 mg,Comprimes secables,B/30,10.902,9.257,SPIRONOLACTONE+ALTIZIDE,Diurétiques,Oui
ALDACTONE,50 mg,Comprimes secables,B/30,24.02,11.424,SPIRONOLACTONE,Diurétiques,Oui
ALDACTONE,75 mg,Comprimes pellicules secables,B/30,16.559,14.051,SPIRONOLACTONE,Diurétiques,Oui
ALDALIX,20 mg,Gelules,B/30,10.286,8.721,SPIRONOLACTONE+FUROSEMIDE,Diurétiques,Oui
ALERGOSONE,"0,5 mg/ml",Gouttes buvables,FL/30 ml,5.41,4.386,BETAMETHASONE,Corticoïdes,Oui
ALERGOSONE,2 mg,Comprimes dispersibles secables,B/20,7.68,5.95,BETAMETHASONE,Corticoïdes,Oui
ALEZINE,5 mg,Comprimes orodispersibles,B/15,5.715,4.756,LEVOCETIRIZINE,Antihistaminiques,Non
