Name;Dosage;Forme;Presentation;Price;Remboursement;DCI;Type;Prescription;Image
ABILICARE;10 mg;Comprimes;B/30;109.675;93.203;ARIPIPRAZOLE;Antipsychotiques;Oui;https://laboratoirespharmacare.tn/wp-content/uploads/2024/09/Abilicare-10-mg.png
ABILICARE;15 mg;Comprimes;B/30;123.445;104.907;ARIPIPRAZOLE;Antipsychotiques;Oui;https://laboratoirespharmacare.tn/wp-content/uploads/2024/09/Abilicare-15-mg.png
ABILIFY;10 mg;Comprimes;B/28;127.235;86.989;ARIPIPRAZOLE;Antipsychotiques;Oui;https://images.amavita.ch/product-images/abilify-cpr-orodisp-10-mg-28-pce-gallery-1-002BZ9.jpg
ABILIFY;15 mg;Comprimes;B/28;127.675;97.913;ARIPIPRAZOLE;Antipsychotiques;Oui;https://oladoctor.com/images/medicines/32259/abilify-15-mg-comprimidos-pack.jpg
ABUFENE;400 mg;Comprimes;B/30;5.705;4.845;BETA-ALANINE;Vitamines et compl�ments alimentaires;Non;https://www.pharmashopi.com/media/catalog/product/cache/0150f7f90c4350f46d5248c6d93952d1/A/b/Abufene-400mg-comprim-bote-de-60-comprims-2674458.png
ACARLYSE;50 mg;Comprimes;B/90;23.305;16.141;ACARBOSE;Antidiab�tiques;Oui;https://saiph-labo.com/wp-content/uploads/2023/07/Acarlyse-50-b90.png
ACETAZOLAMIDE;250 mg;Comprimes;B/30;10.79;2.652;ACETAZOLAMIDE;Anticonvulsivants;Oui;https://pharmacyservice.co.uk/wp-content/uploads/pharmacy_mentor/importImages/acetazolamide-250-mg-tablets-2.jpeg
ACIRYL;150 mg;Gelules;B/30;33.96;28.5;PREGABALINE;Anticonvulsivants;Oui;https://pharmacily.com/wp-content/uploads/2022/01/ACIRYL-Gelules.jpg
ACIRYL;150 mg;Gelules;B/60;67.72;57.0;PREGABALINE;Anticonvulsivants;Oui;https://pharmacily.com/wp-content/uploads/2022/01/ACIRYL-Gelules.jpg
ACIRYL;75 mg;Gelules;B/15;15.485;13.455;PREGABALINE;Anticonvulsivants;Oui;https://www.advanspharma.com/wp-content/uploads/2024/04/aspiryl-75mg-100pills-1-scaled.jpg
ACIRYL;75 mg;Gelules;B/60;59.04;53.82;PREGABALINE;Anticonvulsivants;Oui;https://www.advanspharma.com/wp-content/uploads/2024/04/aspiryl-75mg-100pills-1-scaled.jpg
ACNETA 10;10 mg;Gelules;B/10;6.755;2.408;ISOTRETINOINE;Anticanc�reux;Oui;https://www.apo.com/images/product_images/popup_images/acnatac-10-mg-g-025-mg-g-gel-30-g-pzn-16697871.jpg
ACNETA 10;10 mg;Gelules;B/30;18.085;7.224;ISOTRETINOINE;Anticanc�reux;Oui;https://www.apo.com/images/product_images/popup_images/acnatac-10-mg-g-025-mg-g-gel-30-g-pzn-16697871.jpg
ACNETA 20;20 mg;Gelules;B/10;10.65;4.26;ISOTRETINOINE;Anticanc�reux;Oui;https://5.imimg.com/data5/SELLER/Default/2026/2/583085538/LK/KJ/OE/262528578/acnetop-adapalene-nicotinamide-20-mg-cream-1000x1000.png
ACNETA 20;20 mg;Gelules;B/30;32.24;12.78;ISOTRETINOINE;Anticanc�reux;Oui;https://5.imimg.com/data5/SELLER/Default/2026/2/583085538/LK/KJ/OE/262528578/acnetop-adapalene-nicotinamide-20-mg-cream-1000x1000.png
ACNETA 40;40 mg;Gelules;B/10;18.07;7.044;ISOTRETINOINE;Anticanc�reux;Oui;https://www.med.tn/uploads/pharmaceutical/14f752eaac62ca9fbaa3609243d7f871.jpg
ACNETA 40;40 mg;Gelules;B/30;52.85;21.132;ISOTRETINOINE;Anticanc�reux;Oui;https://www.med.tn/uploads/pharmaceutical/14f752eaac62ca9fbaa3609243d7f871.jpg
ACNETA 5;5 mg;Gelules;B/10;4.72;1.58;ISOTRETINOINE;Anticanc�reux;Oui;https://www.chemist.net/media/catalog/product/cache/bafc858152eb164a42842649141eda27/a/c/acnecide-5-gel-60g_sp13846.jpg
ACNETA 5;5 mg;Gelules;B/30;11.87;4.74;ISOTRETINOINE;Anticanc�reux;Oui;https://www.chemist.net/media/catalog/product/cache/bafc858152eb164a42842649141eda27/a/c/acnecide-5-gel-60g_sp13846.jpg
ACTAFON;160 mg;Comprimes orodispersibles;B/12;6.895;2.318;PHLOROGLUCINOL;Antispasmodiques;Non;https://www.actpharma-sa.com/wp-content/uploads/2019/10/ACTAFON160.jpg
ACTAFON;80 mg;Comprimes orodispersibles;B/20;5.48;1.968;PHLOROGLUCINOL;Antispasmodiques;Non;https://www.actpharma-sa.com/wp-content/uploads/2020/09/Actafon-1.jpg
ACTALGINE;500 mg;Comprimes;B/18;2.6;1.928;ACIDE ACETYLSALICYLIQUE;Antiplaquettaires;Oui;https://images.amavita.ch/product-images/850/850/acetalgine-cpr-500-mg-100-pce-main-001UKJ.jpg
ACTALGINE;500 mg;Comprimes;B/20;2.52;2.142;ACIDE ACETYLSALICYLIQUE;Antiplaquettaires;Oui;https://images.amavita.ch/product-images/850/850/acetalgine-cpr-500-mg-100-pce-main-001UKJ.jpg
ACTALGINE PH 8;500 mg;Comprimes pellicules;B/20;1.7;1.445;ACIDE ACETYLSALICYLIQUE;Antiplaquettaires;Oui;https://images.coopvitality.ch/product-images/acetalgin-tabl-500-mg-20-stk-gallery-1-00271I.jpg
ACTAPULGITE;3 g;Poudre pour suspension orale;B/16 sachets;5.55;2.214;ATTAPULGITE DE MORMOIRON ACTIVEE;Antidiarrh�iques;Non;https://www.pharmacie-du-centre-albert.fr/media/finish/img/normal/38/3400930005491-actapulgite-3-g-enfants-et-adultes-poudre-pour-suspension-buvable-30-sachets.jpg
ACTAPULGITE NOURRISSONS;1 g;Poudre pour suspension orale;B/20 sachets;3.75;1.496;ATTAPULGITE DE MORMOIRON ACTIVEE;Antidiarrh�iques;Non;https://www.pharmacie-du-centre-albert.fr/media/finish/img/normal/38/3400930005491-actapulgite-3-g-enfants-et-adultes-poudre-pour-suspension-buvable-30-sachets.jpg
ACTIPP;20 mg;Gelules gastroresistantes;B/8;6.745;4.162;ESOMEPRAZOLE;Antiacides;Non;https://www.actpharma-sa.com/wp-content/uploads/2020/09/Actipp20mg-1.jpg
ACTONEL;35 mg;Comprimes;B/4;63.899;23.008;RISEDRONATE;Vitamines et compl�ments alimentaires;Non;https://images.amavita.ch/product-images/850/850/actonel-comprimes-hebdomadaires-cpr-pell-35-mg-12-pce-main-002C9Z.jpg
ACTOPRIL;25 mg;Comprimes secables;B/60;13.19;8.466;CAPTOPRIL;Antihypertenseurs;Oui;https://i5-mx.walmartimages.com/gr/images/product-images/img_large/00750221679257L.jpg
ACTOZID;50 mg/25 mg;Comprimes secables;B/30;19.395;16.473;CAPTOPRIL+HYDROCHLORTHIAZIDE;Antihypertenseurs;Oui;https://cdn.shop-apotheke.com/images/D02/003/095/D02003095-p11.jpg
ACTRAPID;100 UI/ml;Solution injectable;FL/10 ml;6.753;4.31;INSULINE HUMAINE;Antidiab�tiques;Oui;https://mboapharma.cm/wp-content/uploads/2020/08/actrapid-insuline.jpg
ACTRAPID PENFILL;100 UI/ml;Suspension injectable;FL/5/3 ml;43.506;43.505;INSULINE HUMAINE;Antidiab�tiques;Oui;https://epharma.com.bd/storage/app/public/BuATKFtHF11yIu4KqnSk1o0rM08PxUsKVv2zlnz2.jpg
ACUPAN;20 mg;Solution injectable;B/5/2 ml;6.042;5.134;NEFOPAM;Analg�siques (antidouleurs);Oui;https://www.rosheta.com/upload/97607c5d1a4056ce9f4022933702aa2954d1bf10e6d44aa8629d84a3a636138b.webp
ADALATE RETARD;20 mg;Comprimes � liberation prolongee;B/20;8.125;6.154;NIFEDIPINE;Antihypertenseurs;Oui;https://nomenclator.org/img/envase.900/adalat-retard-20-mg-comprimidos.1.jpg
ADEX;2,5 mg;Comprimes;B/30;7.44;4.794;INDAPAMIDE;Diur�tiques;Oui;https://inphamedis.dz/wp-content/uploads/2025/03/Adex.png
ADEX LP;1,5 mg;Comprimes � liberation prolongee;B/30;7.44;4.59;INDAPAMIDE;Diur�tiques;Oui;https://pharmnet-dz.com/img/medics/1485.png
ADOL;1000 mg;Comprimes secables;B/8;3.11;1.986;PARACETAMOL;Analg�siques (antidouleurs);Non;https://saiph-labo.com/wp-content/uploads/2023/07/Adol-1000.png
ADOL;500 mg;Comprimes;B/15;2.215;0.637;PARACETAMOL;Analg�siques (antidouleurs);Non;https://www.bloompharmacy.com/cdn/shop/products/adol-500-mg-24-tablets-307250.jpg?v=1687634950
ADOL EXTRA;500 mg/65 mg;Comprimes pellicules;B/20;3.775;2.227;PARACETAMOL+CAFEINE;Analg�siques (antidouleurs);Non;https://saiph-labo.com/wp-content/uploads/2023/07/adol-extra.png
ADOLINE;500 mg;Comprimes;B/10;0.755;0.425;PARACETAMOL;Analg�siques (antidouleurs);Non;https://saiph-labo.com/wp-content/uploads/2023/07/adol-500-b150-600x464.png
ADOLINE;500 mg;Comprimes;B/20;1.01;0.85;PARACETAMOL;Analg�siques (antidouleurs);Non;https://saiph-labo.com/wp-content/uploads/2023/07/adol-500-b150-600x464.png
ADOLINE;500 mg;Comprimes effervescents;B/16;3.59;1.795;PARACETAMOL;Analg�siques (antidouleurs);Non;https://saiph-labo.com/wp-content/uploads/2023/07/adol-500-b150-600x464.png
ADOLINE;500 mg;Comprimes effervescents;B/2 tubes/8;2.12;1.795;PARACETAMOL;Analg�siques (antidouleurs);Non;https://saiph-labo.com/wp-content/uploads/2023/07/adol-500-b150-600x464.png
ADOLINE;500 mg;Comprimes effervescents;B/2x8;3.6;1.795;PARACETAMOL;Analg�siques (antidouleurs);Non;https://saiph-labo.com/wp-content/uploads/2023/07/adol-500-b150-600x464.png
ADONTAG;150 mg;Gelules;B/18;21.01;17.1;PREGABALINE;Anticonvulsivants;Oui;https://oladoctor.com/images/medicines/39418/testogel-16-2-mg-g-gel-pack.jpg
ADONTAG;150 mg;Gelules;B/30;34.86;28.5;PREGABALINE;Anticonvulsivants;Oui;https://oladoctor.com/images/medicines/39418/testogel-16-2-mg-g-gel-pack.jpg
ADONTAG;150 mg;Gelules;B/60;67.44;57.0;PREGABALINE;Anticonvulsivants;Oui;https://oladoctor.com/images/medicines/39418/testogel-16-2-mg-g-gel-pack.jpg
ADONTAG;150 mg;Gelules;FL/14;16.395;13.3;PREGABALINE;Anticonvulsivants;Oui;https://oladoctor.com/images/medicines/39418/testogel-16-2-mg-g-gel-pack.jpg
ADONTAG;150 mg;Gelules;FL/28;32.55;26.6;PREGABALINE;Anticonvulsivants;Oui;https://oladoctor.com/images/medicines/39418/testogel-16-2-mg-g-gel-pack.jpg
ADONTAG;150 mg;Gelules;FL/56;63.185;53.2;PREGABALINE;Anticonvulsivants;Oui;https://oladoctor.com/images/medicines/39418/testogel-16-2-mg-g-gel-pack.jpg
ADONTAG;75 mg;Gelules;FL/14;14.1;12.558;PREGABALINE;Anticonvulsivants;Oui;https://pharmacily.com/wp-content/uploads/2022/01/Adontag-Gelules.jpg
ADONTAG;75 mg;Gelules;FL/30;30.73;26.91;PREGABALINE;Anticonvulsivants;Oui;https://pharmacily.com/wp-content/uploads/2022/01/Adontag-Gelules.jpg
ADYBREX;200 mg;Gelules;B/10;8.44;2.536;CELECOXIB;Anti-inflammatoires;Non;http://zenithpharmacy.com.au/cdn/shop/products/APH-Ibuprofen-200mg-Gel-Capsule-40_1.jpg?v=1703035257
ADYBREX;200 mg;Gelules;B/20;13.235;5.072;CELECOXIB;Anti-inflammatoires;Non;http://zenithpharmacy.com.au/cdn/shop/products/APH-Ibuprofen-200mg-Gel-Capsule-40_1.jpg?v=1703035257
ADYBREX;200 mg;Gelules;B/30;19.74;7.608;CELECOXIB;Anti-inflammatoires;Non;http://zenithpharmacy.com.au/cdn/shop/products/APH-Ibuprofen-200mg-Gel-Capsule-40_1.jpg?v=1703035257
AERIUS;2,5 mg;Comprimes orodispersibles;B/30;9.15;7.777;DESLORATADINE;Antihistaminiques;Non;https://lekarnacz.vshcdn.net/upload/ae/ri/aerius-2-5-mg-90x2-5mg-tablety-rychle-rozp-2175605-350x350-square.jpg
AERIUS;5 mg;Comprimes orodispersibles;B/30;9.615;7.829;DESLORATADINE;Antihistaminiques;Non;https://res.cloudinary.com/zava-www-uk/image/upload/fl_progressive/a_exif,f_auto,e_sharpen:100,c_fit,w_539,h_404,q_70/v1574095836/fr/services-setup/rhinite/aerius/gyuejzvrf616k2yucys4.jpg
